Symbol,Signal,RSI,Entry Time,Logged At,Reason,Outcome,RSI_Value,ADX_Value,Stochastic_Value,MACD_Value,Signal_Value,ATR_Value,Entry_Price,Exit_Price,Breakeven_Probability
CHFJPY,WAIT,63.15,13:34:05,2025-08-03 12:34:05,"RSI: 63.15, ADX: 24.46, Stochastic: 73.68, MACD: 0.0579, Signal: 0.0522, ATR: 0.0615, BB_Width: 0.0021, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=31.94, RSI_SELL=60.01, MIN_ADX=26.20, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0414; ADX слишком низкий (< 26.199202250553316)",PENDING,63.149134870949844,24.46026176175835,73.68368217637907,0.057905092602254626,0.0522053679633543,0.06152685538112751,183.3489990234375,0.0,0.0
USDCAD,WAIT,43.93,13:34:13,2025-08-03 12:34:13,"RSI: 43.93, ADX: 22.34, Stochastic: 49.12, MACD: -0.0004, Signal: -0.0004, ATR: 0.0009, BB_Width: 0.0016, Fractal: BEARISH, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=41.11, RSI_SELL=58.94, MIN_ADX=25.00, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0005; ADX слишком низкий (< 25)",PENDING,43.93039194272087,22.34172775062081,49.12163292621717,-0.00041096442043775383,-0.0004279183699883072,0.0009401730884415687,1.3782999515533447,0.0,0.0
CADJPY,WAIT,44.09,13:34:22,2025-08-03 12:34:22,"RSI: 44.09, ADX: 22.73, Stochastic: 39.77, MACD: -0.0204, Signal: -0.0277, ATR: 0.0417, BB_Width: 0.0011, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=30.00, RSI_SELL=43.47, MIN_ADX=32.61, BB_WIDTH_MIN=0.0012, MIN_ATR=0.0298; ADX слишком низкий (< 32.614538862345384)",PENDING,44.0871964938657,22.725134919623773,39.76709945121135,-0.020383870581625274,-0.02774819946207376,0.04171330081012934,106.9010009765625,0.0,0.0
GBPUSD,WAIT,55.42,13:34:32,2025-08-03 12:34:32,"RSI: 55.42, ADX: 22.64, Stochastic: 0.00, MACD: 0.0006, Signal: 0.0008, ATR: 0.0004, BB_Width: 0.0018, Fractal: None, Trend H1: BULLISH; Адаптивные пороги: RSI_BUY=41.96, RSI_SELL=66.36, MIN_ADX=25.00, BB_WIDTH_MIN=0.0018, MIN_ATR=0.0003; ADX слишком низкий (< 25)",PENDING,55.42349079606994,22.637669116846773,0.0,0.0005672481727125867,0.0007747844795426904,0.00042877640003861727,1.327386736869812,0.0,0.0
EURJPY,WAIT,59.67,13:39:21,2025-08-03 12:39:21,"RSI: 59.67, ADX: 21.10, Stochastic: 57.32, MACD: 0.0588, Signal: 0.0614, ATR: 0.0584, BB_Width: 0.0021, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=36.65, RSI_SELL=62.44, MIN_ADX=25.88, BB_WIDTH_MIN=0.0013, MIN_ATR=0.0407; ADX слишком низкий (< 25.883905775050614)",PENDING,59.67273893228294,21.099268754250595,57.31919116734896,0.058827039091539746,0.06135943698615123,0.05844295460472677,170.79800415039062,0.0,0.0
CHFJPY,WAIT,63.15,13:39:40,2025-08-03 12:39:40,"RSI: 63.15, ADX: 24.46, Stochastic: 73.68, MACD: 0.0579, Signal: 0.0522, ATR: 0.0615, BB_Width: 0.0021, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=31.94, RSI_SELL=60.01, MIN_ADX=26.20, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0414; ADX слишком низкий (< 26.199202250553316)",PENDING,63.149134870949844,24.46026176175835,73.68368217637907,0.057905092602254626,0.0522053679633543,0.06152685538112751,183.3489990234375,0.0,0.0
USDCAD,WAIT,43.93,13:39:48,2025-08-03 12:39:48,"RSI: 43.93, ADX: 22.34, Stochastic: 49.12, MACD: -0.0004, Signal: -0.0004, ATR: 0.0009, BB_Width: 0.0016, Fractal: BEARISH, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=41.11, RSI_SELL=58.94, MIN_ADX=25.00, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0005; ADX слишком низкий (< 25)",PENDING,43.93039194272087,22.34172775062081,49.12163292621717,-0.00041096442043775383,-0.0004279183699883072,0.0009401730884415687,1.3782999515533447,0.0,0.0
CADJPY,WAIT,44.09,13:39:55,2025-08-03 12:39:55,"RSI: 44.09, ADX: 22.73, Stochastic: 39.77, MACD: -0.0204, Signal: -0.0277, ATR: 0.0417, BB_Width: 0.0011, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=30.00, RSI_SELL=43.47, MIN_ADX=32.61, BB_WIDTH_MIN=0.0012, MIN_ATR=0.0298; ADX слишком низкий (< 32.614538862345384)",PENDING,44.0871964938657,22.725134919623773,39.76709945121135,-0.020383870581625274,-0.02774819946207376,0.04171330081012934,106.9010009765625,0.0,0.0
GBPUSD,WAIT,55.42,13:40:03,2025-08-03 12:40:03,"RSI: 55.42, ADX: 22.64, Stochastic: 0.00, MACD: 0.0006, Signal: 0.0008, ATR: 0.0004, BB_Width: 0.0018, Fractal: None, Trend H1: BULLISH; Адаптивные пороги: RSI_BUY=41.96, RSI_SELL=66.36, MIN_ADX=25.00, BB_WIDTH_MIN=0.0018, MIN_ATR=0.0003; ADX слишком низкий (< 25)",PENDING,55.42349079606994,22.637669116846773,0.0,0.0005672481727125867,0.0007747844795426904,0.00042877640003861727,1.327386736869812,0.0,0.0
EURJPY,WAIT,59.67,13:46:43,2025-08-03 12:46:43,"RSI: 59.67, ADX: 21.10, Stochastic: 57.32, MACD: 0.0588, Signal: 0.0614, ATR: 0.0584, BB_Width: 0.0021, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=36.65, RSI_SELL=62.44, MIN_ADX=25.88, BB_WIDTH_MIN=0.0013, MIN_ATR=0.0407; ADX слишком низкий (< 25.883905775050614)",PENDING,59.67273893228294,21.099268754250595,57.31919116734896,0.058827039091539746,0.06135943698615123,0.05844295460472677,170.79800415039062,0.0,0.0
CHFJPY,WAIT,63.15,13:47:00,2025-08-03 12:47:00,"RSI: 63.15, ADX: 24.46, Stochastic: 73.68, MACD: 0.0579, Signal: 0.0522, ATR: 0.0615, BB_Width: 0.0021, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=31.94, RSI_SELL=60.01, MIN_ADX=26.20, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0414; ADX слишком низкий (< 26.199202250553316)",PENDING,63.149134870949844,24.46026176175835,73.68368217637907,0.057905092602254626,0.0522053679633543,0.06152685538112751,183.3489990234375,0.0,0.0
USDCAD,WAIT,43.93,13:47:09,2025-08-03 12:47:09,"RSI: 43.93, ADX: 22.34, Stochastic: 49.12, MACD: -0.0004, Signal: -0.0004, ATR: 0.0009, BB_Width: 0.0016, Fractal: BEARISH, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=41.11, RSI_SELL=58.94, MIN_ADX=25.00, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0005; ADX слишком низкий (< 25)",PENDING,43.93039194272087,22.34172775062081,49.12163292621717,-0.00041096442043775383,-0.0004279183699883072,0.0009401730884415687,1.3782999515533447,0.0,0.0
CADJPY,WAIT,44.09,13:47:18,2025-08-03 12:47:18,"RSI: 44.09, ADX: 22.73, Stochastic: 39.77, MACD: -0.0204, Signal: -0.0277, ATR: 0.0417, BB_Width: 0.0011, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=30.00, RSI_SELL=43.47, MIN_ADX=32.61, BB_WIDTH_MIN=0.0012, MIN_ATR=0.0298; ADX слишком низкий (< 32.614538862345384)",PENDING,44.0871964938657,22.725134919623773,39.76709945121135,-0.020383870581625274,-0.02774819946207376,0.04171330081012934,106.9010009765625,0.0,0.0
GBPUSD,WAIT,55.42,13:47:26,2025-08-03 12:47:26,"RSI: 55.42, ADX: 22.64, Stochastic: 0.00, MACD: 0.0006, Signal: 0.0008, ATR: 0.0004, BB_Width: 0.0018, Fractal: None, Trend H1: BULLISH; Адаптивные пороги: RSI_BUY=41.96, RSI_SELL=66.36, MIN_ADX=25.00, BB_WIDTH_MIN=0.0018, MIN_ATR=0.0003; ADX слишком низкий (< 25)",PENDING,55.42349079606994,22.637669116846773,0.0,0.0005672481727125867,0.0007747844795426904,0.00042877640003861727,1.327386736869812,0.0,0.0
EURJPY,BUY (Adaptive),50.75,20:58:52,2025-08-03 19:58:52,MACD бычий; Цена ниже Bollinger; ,PENDING,50.74684277741154,29.79605579692113,81.51461422738018,-0.08148386136394947,-0.15300962451437547,0.14229980349788116,170.79800415039062,0.0,0.0
EURUSD,BUY (Adaptive),63.8,20:58:54,2025-08-03 19:58:54,Цена ниже Bollinger; Пред. EMA12 > EMA26 (M15); Бычий тренд на H1; ,PENDING,63.802055442934645,29.535464468460912,59.96984211459996,0.0009211013312715455,0.0010644322969857538,0.00040899622823733584,1.1594202518463135,0.0,0.0
